172883064,1
151338729,1
270449528,1
254839786,1
265077741,1
204317520,1
288485704,1
8163442,2
257236842,1
261447035,1
229425177,1
149538028,1
115221382,1
349413327,-1
112939321,1
152388029,1
200559228,1
292598082,1
260769396,1
14925700,-1
226165839,3
324201646,-1
792998,4
2705,4
230505689,5
61065794,5
226516599,5
102364313,5
164422299,5
181288376,5
171704225,-1
147946019,-1
48504743,-1
112819301,5
240944206,5
16663695,-1
47799910,6
40791597,6
16038438,7
405323682,7
333709376,7
20747847,7
40340464,7
21158690,7
18709570,7
31067157,7
16908436,7
7861312,7
179278975,7
16956955,7
290656947,8
324546502,8
21507738,-1
104585489,9
106061616,10
1435461,-1
277889424,-1
560452336,-1
65360193,-1
268479669,7
16264063,7
207936757,7
17176990,7
175624200,7
18142375,7
1294741,7
21697211,7
37883682,7
865561,-1
6194262,11
18498684,-1
6277512,11
1269251,11
6745742,11
9817642,-1
19649303,12
44114848,12
27531390,7
24866186,13
115965772,13
53477757,-1
213969309,-1
382823424,7
155976326,7
417622555,7
522817585,-1
233909647,7
292970754,7
146867687,7
61598133,7
286012612,7
88971791,7
34684258,7
18713254,7
452342492,14
17564647,7
77888423,-1
157218534,15
50901147,14
307206030,7
238308325,7
290097288,7
422253889,7
99066209,16
100383683,16
116379446,16
21982720,7
14129299,7
17780580,17
16637198,7
813286,7
467171076,-1
17567533,17
21122950,17
52488565,-1
15859033,17
34868965,-1
38762773,17
20479813,7
291670881,-1
20060293,7
18194898,7
172768360,18
23027237,7
14630319,7
407977463,19
75974281,20
37792861,7
22027186,-1
14998938,18
88617158,7
16252002,7
10886182,7
182157590,-1
84466455,-1
251261925,1
444895340,1
360245938,1
46750053,1
67348022,1
69641958,1
9917552,21
15515919,-1
20177423,21
19399719,-1
14288822,21
158895928,-1
36451558,21
17469289,21
33644693,-1
28357463,-1
62418341,-1
22412950,-1
19289396,-1
108507561,-1
42634830,22
18742076,22
248319608,-1
27702153,-1
19942178,-1
31268403,22
56026822,22
